class_name,excluded_image_path,matching_image_path,matching_split_or_pool,detection_method,distance,resolution
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/680470.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/680463.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/721245.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/721232.jpg,train/validation pool,pHash,0,excluded duplicate candidate
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/92331.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/prime_rib/34793.jpg,test,pHash,2,excluded candidate; test preserved
pulled_pork_sandwich,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pulled_pork_sandwich/3318245.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pulled_pork_sandwich/3318161.jpg,train/validation pool,pHash,0,excluded duplicate candidate
ravioli,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/ravioli/2793794.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/ravioli/2654580.jpg,test,pHash,0,excluded candidate; test preserved
ravioli,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/ravioli/584114.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/ravioli/1069696.jpg,test,pHash,0,excluded candidate; test preserved
red_velvet_cake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/red_velvet_cake/2347914.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/red_velvet_cake/2092497.jpg,test,pHash,2,excluded candidate; test preserved
red_velvet_cake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/red_velvet_cake/294701.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/red_velvet_cake/294698.jpg,train/validation pool,pHash,0,excluded duplicate candidate
red_velvet_cake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/red_velvet_cake/765959.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/red_velvet_cake/754664.jpg,train/validation pool,pHash,2,excluded duplicate candidate
samosa,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/samosa/918899.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/samosa/1027543.jpg,train/validation pool,pHash,0,excluded duplicate candidate
seaweed_salad,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/seaweed_salad/2944779.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/seaweed_salad/1204673.jpg,train/validation pool,pHash,2,excluded duplicate candidate
shrimp_and_grits,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/shrimp_and_grits/306215.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/shrimp_and_grits/296394.jpg,train/validation pool,pHash,0,excluded duplicate candidate
spaghetti_carbonara,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/spaghetti_carbonara/1348593.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/spaghetti_carbonara/1349091.jpg,test,pHash,0,excluded candidate; test preserved
spaghetti_carbonara,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/spaghetti_carbonara/1551970.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/spaghetti_carbonara/1552336.jpg,test,pHash,0,excluded candidate; test preserved
spaghetti_carbonara,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/spaghetti_carbonara/3302076.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/spaghetti_carbonara/3298793.jpg,test,pHash,0,excluded candidate; test preserved
spaghetti_carbonara,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/spaghetti_carbonara/501296.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/spaghetti_carbonara/501277.jpg,test,pHash,0,excluded candidate; test preserved
strawberry_shortcake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/strawberry_shortcake/2793734.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/strawberry_shortcake/2750429.jpg,test,pHash,0,excluded candidate; test preserved
strawberry_shortcake,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/strawberry_shortcake/2917154.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/strawberry_shortcake/2926631.jpg,test,pHash,0,excluded candidate; test preserved
takoyaki,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/takoyaki/702725.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/takoyaki/2082458.jpg,train/validation pool,pHash,0,excluded duplicate candidate
waffles,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/waffles/961486.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/waffles/899285.jpg,test,pHash,0,excluded candidate; test preserved
aseeda,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/aseeda/EXIF_aseeda_285.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/hininy/EXIF_hininy_112.jpg,cross-class train/validation,pHash,0,removed both ambiguous cross-class copies after visual review
hininy,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/hininy/EXIF_hininy_112.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/aseeda/EXIF_aseeda_285.jpg,cross-class train/validation,pHash,0,removed both ambiguous cross-class copies after visual review
areeka,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/areeka/EXIF_areeka_440.jpg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/masoub/EXIF_masoub_316.jpg,cross-class training pool,pHash,0,removed areeka near-copy; retained visually consistent masoub label
omelette,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/omelette/2619753.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pancakes/2619752.jpg,cross-class training pool,SHA-256,0,removed both exact copies with conflicting omelette/pancakes labels
pancakes,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/pancakes/2619752.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/omelette/2619753.jpg,cross-class training pool,SHA-256,0,removed both exact copies with conflicting omelette/pancakes labels
prime_rib,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/76271.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/steak/97656.jpg,cross-class training pool,SHA-256,0,removed both exact copies with conflicting prime_rib/steak labels
steak,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/steak/97656.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/prime_rib/76271.jpg,cross-class training pool,SHA-256,0,removed both exact copies with conflicting prime_rib/steak labels
